ID,DisplayName,StandardName,DaylightName,BaseUtcOffset
Dateline Standard Time,(UTC-12:00) International Date Line West,Dateline Standard Time,Dateline Daylight Time,-12:00:00
UTC-11,(UTC-11:00) Coordinated Universal Time-11,UTC-11,UTC-11,-11:00:00
Aleutian Standard Time,(UTC-10:00) Aleutian Islands,Aleutian Standard Time,Aleutian Daylight Time,-10:00:00
Hawaiian Standard Time,(UTC-10:00) Hawaii,Hawaiian Standard Time,Hawaiian Daylight Time,-10:00:00
Marquesas Standard Time,(UTC-09:30) Marquesas Islands,Marquesas Standard Time,Marquesas Daylight Time,-09:30:00
Alaskan Standard Time,(UTC-09:00) Alaska,Alaskan Standard Time,Alaskan Daylight Time,-09:00:00
UTC-09,(UTC-09:00) Coordinated Universal Time-09,UTC-09,UTC-09,-09:00:00
Pacific Standard Time (Mexico),(UTC-08:00) Baja California,Pacific Standard Time (Mexico),Pacific Daylight Time (Mexico),-08:00:00
UTC-08,(UTC-08:00) Coordinated Universal Time-08,UTC-08,UTC-08,-08:00:00
Pacific Standard Time,(UTC-08:00) Pacific Time (US & Canada),Pacific Standard Time,Pacific Daylight Time,-08:00:00
US Mountain Standard Time,(UTC-07:00) Arizona,US Mountain Standard Time,US Mountain Daylight Time,-07:00:00
Mountain Standard Time (Mexico),(UTC-07:00) Chihuahua* La Paz* Mazatlan,Mountain Standard Time (Mexico),Mountain Daylight Time (Mexico),-07:00:00
Mountain Standard Time,(UTC-07:00) Mountain Time (US & Canada),Mountain Standard Time,Mountain Daylight Time,-07:00:00
Central America Standard Time,(UTC-06:00) Central America,Central America Standard Time,Central America Daylight Time,-06:00:00
Central Standard Time,(UTC-06:00) Central Time (US & Canada),Central Standard Time,Central Daylight Time,-06:00:00
Easter Island Standard Time,(UTC-06:00) Easter Island,Easter Island Standard Time,Easter Island Daylight Time,-06:00:00
Central Standard Time (Mexico),(UTC-06:00) Guadalajara* Mexico City* Monterrey,Central Standard Time (Mexico),Central Daylight Time (Mexico),-06:00:00
Canada Central Standard Time,(UTC-06:00) Saskatchewan,Canada Central Standard Time,Canada Central Daylight Time,-06:00:00
SA Pacific Standard Time,(UTC-05:00) Bogota* Lima* Quito* Rio Branco,SA Pacific Standard Time,SA Pacific Daylight Time,-05:00:00
Eastern Standard Time (Mexico),(UTC-05:00) Chetumal,Eastern Standard Time (Mexico),Eastern Daylight Time (Mexico),-05:00:00
Eastern Standard Time,(UTC-05:00) Eastern Time (US & Canada),Eastern Standard Time,Eastern Daylight Time,-05:00:00
Haiti Standard Time,(UTC-05:00) Haiti,Haiti Standard Time,Haiti Daylight Time,-05:00:00
Cuba Standard Time,(UTC-05:00) Havana,Cuba Standard Time,Cuba Daylight Time,-05:00:00
US Eastern Standard Time,(UTC-05:00) Indiana (East),US Eastern Standard Time,US Eastern Daylight Time,-05:00:00
